Themes,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
My,6,33,53,53,3,79,96,3,23,96,27,90
Good,9,21,48,36,95,99,75,91,38,4,39,33
Apollo,12,6,81,38,54,40,17,40,34,1,11,40
I'm,55,14,30,95,39,87,97,8,32,53,15,11
Burning,5,39,63,76,11,56,49,60,88,64,54,66
Star,84,23,48,78,17,98,80,28,21,83,86,14
IV,9,60,78,18,41,94,85,21,5,71,54,65
From,94,5,87,76,89,13,61,53,35,66,90,26
Fear,31,71,75,58,81,17,75,97,1,54,44,51
Through,99,8,41,54,1,62,36,75,10,12,32,76
The,13,70,41,63,7,78,13,3,32,81,29,64
Eyes,100,65,17,70,1,40,49,33,93,84,41,81
Of,85,3,88,11,33,1,17,64,50,60,80,59
Madness,53,39,25,31,40,3,96,51,64,32,2,51
